iter	F1	Logloss
0	0.9003308011	0.6715666247
1	0.9005534557	0.6498069982
2	0.9006005161	0.6378403022
3	0.9004899762	0.6184868686
4	0.9005080474	0.6016960513
5	0.900454539	0.587388356
6	0.9006575181	0.5704825833
7	0.9002279959	0.5554478673
8	0.9000993657	0.5392425633
9	0.9000817077	0.5252149934
10	0.9001306676	0.5109888171
11	0.9001408257	0.5052006133
12	0.8999707114	0.4919743408
13	0.8999311977	0.4807863543
14	0.8999035385	0.4717175123
15	0.8998742562	0.4610145352
16	0.8997972446	0.4526115689
17	0.8998088708	0.4473910417
18	0.899774383	0.4380006549
19	0.8997743676	0.4340180623
20	0.8996328483	0.4299819945
21	0.8994328349	0.4242942858
22	0.8993562538	0.4185389949
23	0.8994026548	0.4104532297
24	0.8993536994	0.4032649211
25	0.8993880798	0.3994721226
26	0.8988840423	0.3961194527
27	0.8988729672	0.3908870136
28	0.8988561682	0.3873547961
29	0.8986926659	0.3824917132
30	0.8987164706	0.3775733419
31	0.8987540474	0.3732295584
32	0.8987851753	0.3694964467
33	0.8987630036	0.363702251
34	0.8986198755	0.3600028554
35	0.8986214997	0.3562438204
36	0.898616627	0.3527863458
37	0.8985654608	0.3510561035
38	0.8985846832	0.3480449876
39	0.8986093196	0.3460678321
40	0.8986478096	0.3440579255
41	0.898639653	0.3404711023
42	0.8986439813	0.3385176491
43	0.8986179855	0.3347755687
44	0.8986307107	0.3319501468
45	0.8986524139	0.33026748
46	0.8986399393	0.3285784962
47	0.8987223366	0.3250364512
48	0.898600657	0.3227698151
49	0.8987480778	0.3212054598
50	0.8986328916	0.3186961518
51	0.8985483118	0.316598132
52	0.8986863999	0.3152809893
53	0.898425532	0.3142000937
54	0.8984415572	0.3119358843
55	0.8985699855	0.3099019028
56	0.8982977963	0.3089188772
57	0.8983423871	0.306589483
58	0.8985591241	0.3050673957
59	0.8986546607	0.3024903081
60	0.8986622527	0.3011231079
61	0.8986036421	0.3001253566
62	0.8985572263	0.2991360131
63	0.8985892579	0.2971608667
64	0.8986788106	0.2962263995
65	0.8986248062	0.2950966545
66	0.8986475835	0.2940461881
67	0.8986586827	0.2914850164
68	0.8987055558	0.2905158012
69	0.8987551421	0.2887737618
70	0.8987277291	0.2875285423
71	0.8987334863	0.2869004368
72	0.8987313028	0.2861063848
73	0.8988093138	0.2844507257
74	0.8987621541	0.2830136843
75	0.898703618	0.2822116948
76	0.8987196394	0.2816422166
77	0.8987461724	0.2809425574
78	0.8987410152	0.2799013246
79	0.8987065929	0.2781736678
80	0.8987326509	0.2776856368
81	0.8987282852	0.2765877477
82	0.8986464417	0.2758317192
83	0.8986236839	0.274424056
84	0.8986870835	0.273938372
85	0.8986285604	0.2733792556
86	0.8987071467	0.272954703
87	0.8986957649	0.2718717057
88	0.8987369729	0.2714519554
89	0.898725589	0.2706714578
90	0.8986784564	0.2698948349
91	0.8986925437	0.2694092579
92	0.8986402393	0.2690365205
93	0.8985998436	0.2685824108
94	0.8986331975	0.2673232781
95	0.8986288522	0.2659537832
96	0.898679532	0.2654598008
97	0.8987431991	0.264775939
98	0.8987044483	0.2636918207
99	0.8986979437	0.26322609
100	0.8986944152	0.2628152762
101	0.8987282852	0.2611869717
102	0.8987827318	0.2605600599
103	0.8987583424	0.2602147498
104	0.8987507715	0.2597092828
105	0.8987618742	0.2593486416
106	0.8987895173	0.2586217189
107	0.8988182222	0.258308742
108	0.8988054964	0.2576024653
109	0.898829812	0.2573376244
110	0.8988151816	0.2570463001
111	0.8988054282	0.2566749993
112	0.8988119304	0.255996987
113	0.8988520017	0.2547692435
114	0.8988904422	0.2540546693
115	0.8989610969	0.2532168155
116	0.8989565111	0.2530211007
117	0.8989516345	0.2523445759
118	0.898947048	0.2521584359
119	0.8989451324	0.2519133046
120	0.8989310815	0.2517512445
121	0.8989502993	0.2513121992
122	0.8989984845	0.2509627436
123	0.8990030682	0.2505383953
124	0.899002775	0.2499507855
