iter	Passed	Remaining
0	1714	855783
1	2541	632905
2	2937	486572
3	4389	544262
4	5124	507321
5	6173	508298
6	6942	488917
7	7624	468899
8	8441	460540
9	9767	478586
10	10308	458267
11	10888	442808
12	11712	438785
13	12845	445908
14	13599	439728
15	14799	447677
16	15389	437247
17	16440	440235
18	16730	423557
19	17455	418936
20	18207	415306
21	18712	406577
22	20050	415821
23	20844	413410
24	21572	409873
25	21995	401003
26	22511	394372
27	23192	390954
28	24700	401167
29	25381	397644
30	26588	402265
31	27819	406864
32	29798	421695
33	30965	424412
34	31597	419791
35	32211	415164
36	33706	421783
37	34378	417964
38	35332	417644
39	36270	417110
40	36904	413154
41	38338	418075
42	39307	417751
43	40073	415308
44	40909	413643
45	41501	409604
46	42208	406820
47	43769	412159
48	44883	413107
49	45492	409435
50	47167	415258
51	48491	417775
52	49386	416525
53	49788	411212
54	50291	406906
55	51418	407675
56	51758	402266
57	53151	405054
58	56760	424263
59	59734	438053
60	60518	435533
61	61295	433021
62	62958	436712
63	64593	440044
64	65338	437264
65	66083	434551
66	67321	435077
67	68130	432826
68	68675	428975
69	70466	432865
70	71022	429134
71	71419	424550
72	72073	421581
73	73766	424657
74	75677	428840
75	76930	429189
76	77380	425090
77	77700	420379
78	78526	418478
79	79349	416584
80	79571	411610
81	80084	408234
82	80691	405400
83	81204	402155
84	81582	398315
85	82286	396125
86	82514	391706
87	83792	392299
88	84236	389001
89	85626	390078
90	86543	388971
91	87307	387191
92	87568	383228
93	88066	380371
94	88580	377631
95	89308	375839
96	89798	373081
97	90548	371433
98	91790	371797
99	92918	371672
100	93729	370279
101	94982	370616
102	96455	371774
103	97090	369691
104	97852	368112
105	98533	366247
106	99780	366482
107	100172	363590
108	101388	363696
109	101693	360548
110	102184	358106
111	102805	356147
112	104417	357607
113	105764	358114
114	107131	358656
115	108403	358852
116	108646	355653
117	109791	355426
118	110038	352309
119	110629	350325
120	111039	347801
121	112095	347310
122	113310	347300
123	114529	347282
124	115003	345011
125	116113	344654
126	117614	345434
127	118028	343020
128	118591	341065
129	119733	340779
130	120726	340061
131	121654	339157
132	122822	338916
133	124173	339159
134	125607	339604
135	126397	338300
136	126937	336337
137	127732	335065
138	128412	333503
139	129769	333693
140	130342	331865
141	130852	329896
142	131146	327408
143	131960	326236
144	132444	324261
145	132900	322237
146	134566	323143
147	134920	320892
148	136603	321796
149	138197	322460
150	138793	320786
151	140354	321338
152	140845	319434
153	141434	317769
154	142679	317576
155	143917	317357
156	144638	315994
157	145358	314636
158	145739	312560
159	146939	312245
160	148337	312338
161	149765	312472
162	150038	310202
163	151246	309870
164	152515	309653
165	153826	309505
166	154940	308953
167	156232	308744
168	156874	307251
169	158083	306867
170	159640	307143
171	160140	305384
172	160880	304092
173	161482	302548
174	161964	300791
175	163244	300517
176	164383	299976
177	165508	299403
178	166620	298799
179	167225	297289
180	168546	297052
181	169166	295577
182	170506	295358
183	171463	294470
184	172683	294028
185	172967	291998
186	173337	290131
187	173860	288533
188	174270	286762
189	175508	286356
190	175803	284415
191	176954	283863
192	178350	283697
193	179076	282461
194	179436	280657
195	180602	280118
196	181122	278578
197	182280	278023
198	183535	277608
199	183793	275690
200	184972	275157
201	185933	274297
202	186206	272429
203	186705	270906
204	188070	270638
205	189414	270329
206	190594	269778
207	190884	267972
208	191262	266303
209	192403	265700
210	192815	264093
211	194451	264160
212	195789	263810
213	196869	263106
214	198275	262830
215	199578	262408
216	200966	262089
217	201332	260438
218	202497	259825
219	203789	259368
220	204407	258052
221	205570	257425
222	205751	255575
223	205969	253783
224	207513	253627
225	207759	251885
226	209232	251632
227	209634	250090
228	209962	248471
229	210367	246953
230	210972	245677
231	212593	245582
232	214040	245273
233	215565	245044
234	216299	243912
235	217650	243473
236	219317	243377
237	220788	243052
238	222213	242667
239	223549	242178
240	224899	241696
241	225952	240891
242	226458	239505
243	226783	237936
244	226978	236243
245	228208	235629
246	229694	235274
247	231017	234743
248	231726	233587
249	232474	232474
250	233859	231995
251	234415	230695
252	235044	229470
253	236181	228742
254	237515	228201
255	237952	226798
256	239488	226442
257	240388	225480
258	241678	224882
259	243314	224597
260	243632	223096
261	244773	222351
262	245904	221594
263	246181	220071
264	247468	219453
265	248621	218712
266	249743	217941
267	250956	217245
268	252218	216589
269	253602	216032
270	254797	215308
271	256082	214657
272	257520	214128
273	257785	212626
274	259145	212027
275	259549	210649
276	260928	210061
277	261324	208683
278	262669	208064
279	263785	207259
280	263918	205687
281	264960	204827
282	266277	204177
283	267621	203543
284	268768	202755
285	269948	201989
286	270311	200614
287	270539	199146
288	271271	198056
289	271619	196689
290	272176	195480
291	273507	194827
292	274799	194141
293	276136	193483
294	277179	192616
295	278808	192151
296	280905	191999
297	283063	191875
298	283492	190575
299	287367	191578
300	288136	190495
301	291278	190970
302	294331	191363
303	296229	190989
304	297857	190433
305	299743	190033
306	301316	189426
307	303027	188900
308	303490	187594
309	305991	187543
310	308276	187345
311	309253	186344
312	311128	185881
313	311381	184449
314	312761	183685
315	313152	182342
316	314521	181569
317	315127	180355
318	316547	179608
319	317942	178842
320	319509	178168
321	320832	177354
322	321493	176174
323	321766	174786
324	322301	173546
325	323685	172764
326	324288	171565
327	325836	170865
328	327556	170249
329	327712	168821
330	329150	168055
331	329851	166912
332	330783	165888
333	331066	164542
334	332432	163735
335	333390	162726
336	334669	161872
337	336104	161091
338	337480	160278
339	338631	159356
340	340163	158609
341	341522	157779
342	342653	156841
343	343830	155922
344	345082	155037
345	346277	154123
346	346532	152793
347	347760	151895
348	348140	150628
349	349506	149788
350	350789	148910
351	352172	148072
352	352602	146834
353	353658	145859
354	353934	144564
355	355145	143654
356	356430	142771
357	357823	141929
358	358674	140872
359	360439	140171
360	361217	139083
361	362657	138250
362	364054	137397
363	365315	136491
364	366544	135571
365	367751	134641
366	368086	133393
367	368718	132257
368	369168	131059
369	369481	129817
370	369851	128600
371	371083	127684
372	371572	126513
373	371986	125321
374	373087	124362
375	374457	123491
376	375650	122559
377	376892	121642
378	378230	120754
379	378939	119665
380	379222	118444
381	380691	117595
382	382075	116717
383	382462	115535
384	383726	114619
385	385266	113783
386	386573	112875
387	387212	111772
388	388384	110824
389	388976	109711
390	390497	108859
391	391901	107972
392	393031	107008
393	394439	106118
394	395685	105182
395	396996	104261
396	398254	103325
397	399644	102421
398	401201	101557
399	401683	100420
400	402875	99463
401	403383	98337
402	404701	97409
403	406378	96565
404	408081	95722
405	408325	94538
406	409545	93581
407	411233	92729
408	412399	91756
409	412510	90551
410	412629	89352
411	413859	88397
412	414361	87286
413	414739	86153
414	416208	85247
415	416463	84093
416	417096	83019
417	418333	82065
418	419536	81103
419	419740	79950
420	421171	79032
421	421455	77899
422	421708	76764
423	423098	75838
424	424382	74891
425	425671	73942
426	426124	72850
427	427239	71871
428	428546	70924
429	429766	69961
430	431201	69032
431	432419	68066
432	433425	67065
433	434703	66107
434	435081	65012
435	435306	63898
436	436512	62929
437	437568	61938
438	437838	60838
439	439179	59888
440	440742	58965
441	442020	58002
442	443350	57045
443	443660	55957
444	444262	54908
445	444850	53860
446	446186	52903
447	446403	51814
448	446765	50746
449	448007	49778
450	449297	48815
451	449587	47743
452	451009	46793
453	451643	45761
454	453848	44886
